"tiger #","tiger channel","detector","channel",,"tiger #","tiger channel","detector","channel",,"tiger #","tiger channel","detector","channel",,"tiger #","tiger channel","detector","channel"
0,0,"MM0",128,,2,0,"MM1",233,,4,0,"MM2",128,,6,1,"MM3",205
0,1,"MM0",153,,2,1,"MM1",208,,4,1,"MM2",153,,6,3,"MM3",181
0,2,"MM0",126,,2,2,"MM1",235,,4,2,"MM2",126,,6,4,"MM3",211
0,3,"MM0",177,,2,3,"MM1",184,,4,3,"MM2",177,,6,5,"MM3",175
0,4,"MM0",144,,2,4,"MM1",217,,4,4,"MM2",144,,6,6,"MM3",209
0,5,"MM0",183,,2,5,"MM1",178,,4,5,"MM2",183,,6,7,"MM3",180
0,6,"MM0",142,,2,6,"MM1",219,,4,6,"MM2",142,,6,9,"MM3",177
0,7,"MM0",178,,2,7,"MM1",183,,4,7,"MM2",178,,6,10,"MM3",213
0,8,"MM0",146,,2,8,"MM1",215,,4,8,"MM2",146,,6,11,"MM3",193
0,9,"MM0",181,,2,9,"MM1",180,,4,9,"MM2",181,,6,12,"MM3",210
0,10,"MM0",149,,2,10,"MM1",212,,4,10,"MM2",149,,6,13,"MM3",179
0,11,"MM0",165,,2,11,"MM1",196,,4,11,"MM2",165,,6,15,"MM3",201
0,12,"MM0",143,,2,12,"MM1",218,,4,12,"MM2",143,,6,17,"MM3",191
0,13,"MM0",179,,2,13,"MM1",182,,4,13,"MM2",179,,6,19,"MM3",200
0,14,"MM0",134,,2,14,"MM1",227,,4,14,"MM2",134,,6,23,"MM3",212
0,15,"MM0",157,,2,15,"MM1",204,,4,15,"MM2",157,,6,25,"MM3",197
0,16,"MM0",130,,2,16,"MM1",231,,4,16,"MM2",130,,6,27,"MM3",195
0,17,"MM0",167,,2,17,"MM1",194,,4,17,"MM2",167,,6,29,"MM3",204
0,18,"MM0",131,,2,18,"MM1",230,,4,18,"MM2",131,,6,31,"MM3",203
0,19,"MM0",158,,2,19,"MM1",203,,4,19,"MM2",158,,6,32,"MM3",182
0,20,"MM0",123,,2,20,"MM1",238,,4,20,"MM2",123,,6,33,"MM3",208
0,21,"MM0",147,,2,21,"MM1",214,,4,21,"MM2",147,,6,34,"MM3",183
0,22,"MM0",125,,2,22,"MM1",236,,4,22,"MM2",125,,6,35,"MM3",206
0,23,"MM0",145,,2,23,"MM1",216,,4,23,"MM2",145,,6,37,"MM3",192
0,24,"MM0",124,,2,24,"MM1",237,,4,24,"MM2",124,,6,39,"MM3",199
0,25,"MM0",161,,2,25,"MM1",200,,4,25,"MM2",161,,6,41,"MM3",207
0,26,"NC",0,,2,26,"NC",0,,4,26,"NC",0,,6,42,"MM3",176
0,27,"MM0",163,,2,27,"MM1",198,,4,27,"MM2",163,,6,43,"MM3",187
0,28,"NC",0,,2,28,"NC",0,,4,28,"NC",0,,6,44,"MM3",185
0,29,"MM0",154,,2,29,"MM1",207,,4,29,"MM2",154,,6,46,"MM3",184
0,30,"MM0",133,,2,30,"MM1",228,,4,30,"MM2",133,,6,49,"MM3",202
