# Generated by run 51
# gemroc tiger channel saturation_value vcasp thr maximum_efine
0 0 0 45.0 55 27 353
0 0 1 45.0 55 23 384
0 0 2 45.0 55 23 370
0 0 3 45.0 55 52 454
0 0 4 45.0 55 48 453
0 0 5 45.0 55 47 446
0 0 6 45.0 55 47 434
0 0 7 45.0 55 51 531
0 0 8 45.0 55 51 428
0 0 9 45.0 55 50 491
0 0 10 45.0 55 47 395
0 0 11 45.0 55 50 464
0 0 12 45.0 55 48 509
0 0 13 45.0 55 50 523
0 0 15 45.0 55 48 474
0 0 17 45.0 55 50 469
0 0 19 45.0 55 49 461
0 0 21 45.0 55 49 416
0 0 22 45.0 55 49 480
0 0 23 45.0 55 48 453
0 0 24 45.0 55 49 427
0 0 25 45.0 55 48 487
0 0 26 45.0 55 49 505
0 0 27 45.0 55 48 468
0 0 28 45.0 55 49 415
0 0 29 45.0 55 49 475
0 0 31 45.0 55 48 477
0 0 32 45.0 55 49 478
0 0 33 45.0 55 50 479
0 0 34 45.0 55 50 422
0 0 35 45.0 55 50 482
0 0 36 45.0 55 49 476
0 0 37 45.0 55 52 525
0 0 39 45.0 55 51 532
0 0 40 45.0 55 49 528
0 0 41 45.0 55 53 450
0 0 42 45.0 55 51 561
0 0 43 45.0 55 47 475
0 0 44 45.0 55 50 464
0 0 45 45.0 55 50 477
0 0 46 45.0 55 48 440
0 0 47 45.0 55 50 444
0 0 48 45.0 55 51 458
0 0 49 45.0 55 50 448
0 0 50 45.0 55 47 435
0 0 51 45.0 55 50 457
0 0 52 45.0 55 45 512
0 0 53 45.0 55 50 470
0 0 54 45.0 55 52 521
0 0 55 45.0 55 50 535
0 0 56 45.0 55 52 501
0 0 57 45.0 55 48 443
0 0 58 45.0 55 52 481
0 0 59 45.0 55 50 393
0 0 60 45.0 55 52 465
0 0 61 45.0 55 48 475
0 1 0 45.0 55 46 485
0 1 1 45.0 55 48 481
0 1 2 45.0 55 46 475
0 1 3 45.0 55 46 526
0 1 4 45.0 55 46 442
0 1 5 45.0 55 48 476
0 1 6 45.0 55 45 508
0 1 7 45.0 55 48 417
0 1 8 45.0 55 46 538
0 1 9 45.0 55 47 415
0 1 10 45.0 55 49 422
0 1 11 45.0 55 47 431
0 1 12 45.0 55 47 515
0 1 13 45.0 55 46 420
0 1 14 45.0 55 49 455
0 1 15 45.0 55 45 529
0 1 16 45.0 55 43 378
0 1 17 45.0 55 46 449
0 1 18 45.0 55 47 501
0 1 19 45.0 55 46 461
0 1 20 45.0 55 47 473
0 1 21 45.0 55 49 465
0 1 22 45.0 55 46 543
0 1 23 45.0 55 50 500
0 1 24 45.0 55 43 472
0 1 25 45.0 55 49 474
0 1 26 45.0 55 44 392
0 1 27 45.0 55 47 394
0 1 28 45.0 55 45 438
0 1 29 45.0 55 47 467
0 1 30 45.0 55 45 449
0 1 31 45.0 55 48 480
0 1 32 45.0 55 46 422
0 1 33 45.0 55 45 430
0 1 34 45.0 55 47 417
0 1 35 45.0 55 47 456
0 1 36 45.0 55 49 487
0 1 37 45.0 55 47 458
0 1 38 45.0 55 45 459
0 1 39 45.0 55 47 458
0 1 40 45.0 55 49 513
0 1 41 45.0 55 49 529
0 1 42 45.0 55 43 419
0 1 43 45.0 55 48 494
0 1 44 45.0 55 47 415
0 1 45 45.0 55 45 495
0 1 46 45.0 55 47 444
0 1 47 45.0 55 48 462
0 1 48 45.0 55 47 454
0 1 49 45.0 55 49 511
0 1 50 45.0 55 49 518
0 1 51 45.0 55 47 442
0 1 52 45.0 55 44 536
0 1 53 45.0 55 45 537
0 1 54 45.0 55 47 455
0 1 55 45.0 55 46 540
0 1 56 45.0 55 49 548
0 1 57 45.0 55 50 482
0 1 58 45.0 55 46 472
0 1 59 45.0 55 48 515
0 1 60 45.0 55 47 473
0 1 61 45.0 55 43 460
0 2 0 45.0 55 48 461
0 2 1 45.0 55 49 475
0 2 2 45.0 55 47 493
0 2 3 45.0 55 48 409
0 2 4 45.0 55 49 452
0 2 5 45.0 55 47 420
0 2 6 45.0 55 50 459
0 2 7 45.0 55 48 417
0 2 8 45.0 55 47 1007
0 2 9 45.0 55 51 444
0 2 10 45.0 55 50 393
0 2 11 45.0 55 49 449
0 2 12 45.0 55 48 471
0 2 13 45.0 55 49 443
0 2 15 45.0 55 51 440
0 2 17 45.0 55 48 407
0 2 19 45.0 55 49 433
0 2 21 45.0 55 50 420
0 2 22 45.0 55 49 493
0 2 23 45.0 55 49 466
0 2 24 45.0 55 47 422
0 2 25 45.0 55 45 454
0 2 26 45.0 55 45 443
0 2 27 45.0 55 49 431
0 2 28 45.0 55 47 430
0 2 29 45.0 55 50 429
0 2 31 45.0 55 49 487
0 2 32 45.0 55 48 452
0 2 33 45.0 55 47 502
0 2 34 45.0 55 50 1007
0 2 35 45.0 55 50 482
0 2 36 45.0 55 29 329
0 2 37 45.0 55 47 465
0 2 38 45.0 55 49 401
0 2 39 45.0 55 49 468
0 2 40 45.0 55 50 480
0 2 41 45.0 55 49 451
0 2 42 45.0 55 49 1007
0 2 43 45.0 55 49 463
0 2 44 45.0 55 48 382
0 2 45 45.0 55 51 499
0 2 46 45.0 55 49 427
0 2 47 45.0 55 51 455
0 2 48 45.0 55 50 489
0 2 49 45.0 55 49 439
0 2 50 45.0 55 49 1007
0 2 51 45.0 55 51 497
0 2 52 45.0 55 50 440
0 2 53 45.0 55 51 424
0 2 54 45.0 55 50 1007
0 2 55 45.0 55 50 453
0 2 56 45.0 55 48 454
0 2 57 45.0 55 49 449
0 2 58 45.0 55 48 414
0 2 59 45.0 55 49 481
0 2 60 45.0 55 51 395
0 2 61 45.0 55 51 509
0 2 62 45.0 55 48 425
0 2 63 45.0 55 51 424
0 3 0 45.0 55 49 545
0 3 1 45.0 55 51 548
0 3 2 45.0 55 51 565
0 3 3 45.0 55 49 564
0 3 4 45.0 55 48 592
0 3 5 45.0 55 49 551
0 3 6 45.0 55 50 489
0 3 7 45.0 55 50 621
0 3 8 45.0 55 49 519
0 3 9 45.0 55 50 520
0 3 10 45.0 55 50 519
0 3 11 45.0 55 48 537
0 3 12 45.0 55 53 507
0 3 13 45.0 55 51 556
0 3 14 45.0 55 50 502
0 3 15 45.0 55 49 1007
0 3 16 45.0 55 48 625
0 3 17 45.0 55 50 471
0 3 18 45.0 55 50 519
0 3 19 45.0 55 48 549
0 3 20 45.0 55 50 494
0 3 21 45.0 55 50 537
0 3 22 45.0 55 48 560
0 3 23 45.0 55 50 590
0 3 24 45.0 55 50 498
0 3 25 45.0 55 48 510
0 3 26 45.0 55 49 529
0 3 27 45.0 55 49 522
0 3 28 45.0 55 49 468
0 3 29 45.0 55 50 507
0 3 30 45.0 55 48 566
0 3 31 45.0 55 48 526
0 3 32 45.0 55 47 533
0 3 33 45.0 55 48 473
0 3 34 45.0 55 49 558
0 3 35 45.0 55 47 508
0 3 36 45.0 55 50 526
0 3 37 45.0 55 49 465
0 3 38 45.0 55 46 557
0 3 39 45.0 55 47 546
0 3 40 45.0 55 50 479
0 3 41 45.0 55 50 559
0 3 42 45.0 55 50 571
0 3 43 45.0 55 49 487
0 3 44 45.0 55 49 503
0 3 45 45.0 55 49 515
0 3 46 45.0 55 50 552
0 3 47 45.0 55 50 537
0 3 48 45.0 55 49 506
0 3 49 45.0 55 50 512
0 3 50 45.0 55 51 497
0 3 51 45.0 55 50 483
0 3 52 45.0 55 50 512
0 3 53 45.0 55 51 490
0 3 54 45.0 55 48 522
0 3 55 45.0 55 49 512
0 3 56 45.0 55 50 603
0 3 57 45.0 55 51 560
0 3 58 45.0 55 49 491
0 3 59 45.0 55 49 526
0 3 60 45.0 55 49 504
0 3 61 45.0 55 47 475
0 3 62 45.0 55 48 1007
0 3 63 45.0 55 49 425
0 4 0 45.0 55 53 565
0 4 1 45.0 55 54 679
0 4 2 45.0 55 53 601
0 4 3 45.0 55 53 705
0 4 4 45.0 55 52 645
0 4 5 45.0 55 52 613
0 4 6 45.0 55 53 592
0 4 7 45.0 55 54 577
0 4 8 45.0 55 54 568
0 4 9 45.0 55 53 621
0 4 10 45.0 55 54 995
0 4 11 45.0 55 53 591
0 4 12 45.0 55 50 534
0 4 13 45.0 55 51 618
0 4 15 45.0 55 54 596
0 4 17 45.0 55 53 745
0 4 19 45.0 55 53 675
0 4 21 45.0 55 52 649
0 4 22 45.0 55 50 607
0 4 23 45.0 55 52 556
0 4 24 45.0 55 50 588
0 4 25 45.0 55 51 585
0 4 26 45.0 55 50 522
0 4 27 45.0 55 51 538
0 4 28 45.0 55 52 535
0 4 29 45.0 55 52 490
0 4 31 45.0 55 52 595
0 4 32 45.0 55 54 563
0 4 33 45.0 55 52 584
0 4 34 45.0 55 54 587
0 4 35 45.0 55 51 505
0 4 36 45.0 55 52 576
0 4 37 45.0 55 53 625
0 4 39 45.0 55 51 623
0 4 40 45.0 55 54 595
0 4 41 45.0 55 53 610
0 4 42 45.0 55 53 590
0 4 43 45.0 55 51 1007
0 4 44 45.0 55 51 602
0 4 45 45.0 55 54 596
0 4 46 45.0 55 52 636
0 4 47 45.0 55 52 560
0 4 48 45.0 55 52 587
0 4 49 45.0 55 55 456
0 4 50 45.0 55 52 570
0 4 52 45.0 55 49 521
0 4 53 45.0 55 52 611
0 4 54 45.0 55 50 639
0 4 55 45.0 55 51 560
0 4 56 45.0 55 48 564
0 4 57 45.0 55 52 625
0 4 58 45.0 55 53 636
0 4 59 45.0 55 54 548
0 4 60 45.0 55 53 675
0 4 61 45.0 55 53 556
0 5 0 45.0 55 46 434
0 5 1 45.0 55 47 450
0 5 2 45.0 55 48 393
0 5 3 45.0 55 44 441
0 5 4 45.0 55 45 430
0 5 5 45.0 55 47 418
0 5 6 45.0 55 46 470
0 5 7 45.0 55 47 387
0 5 8 45.0 55 44 401
0 5 9 45.0 55 45 361
0 5 10 45.0 55 47 420
0 5 11 45.0 55 46 400
0 5 12 45.0 55 45 417
0 5 13 45.0 55 46 431
0 5 14 45.0 55 45 383
0 5 15 45.0 55 48 480
0 5 16 45.0 55 43 402
0 5 17 45.0 55 47 390
0 5 18 45.0 55 44 1007
0 5 19 45.0 55 44 398
0 5 20 45.0 55 46 421
0 5 21 45.0 55 46 449
0 5 22 45.0 55 46 420
0 5 23 45.0 55 44 393
0 5 24 45.0 55 46 335
0 5 25 45.0 55 47 356
0 5 26 45.0 55 43 423
0 5 27 45.0 55 46 420
0 5 28 45.0 55 44 442
0 5 29 45.0 55 46 409
0 5 30 45.0 55 45 421
0 5 31 45.0 55 43 423
0 5 32 45.0 55 43 395
0 5 33 45.0 55 44 455
0 5 34 45.0 55 46 395
0 5 35 45.0 55 42 374
0 5 36 45.0 55 46 439
0 5 37 45.0 55 46 396
0 5 38 45.0 55 42 394
0 5 39 45.0 55 43 399
0 5 40 45.0 55 45 428
0 5 41 45.0 55 48 429
0 5 42 45.0 55 47 462
0 5 43 45.0 55 44 472
0 5 44 45.0 55 46 380
0 5 45 45.0 55 49 399
0 5 46 45.0 55 48 374
0 5 47 45.0 55 45 423
0 5 48 45.0 55 44 393
0 5 49 45.0 55 47 426
0 5 50 45.0 55 45 391
0 5 51 45.0 55 44 432
0 5 52 45.0 55 46 490
0 5 53 45.0 55 48 394
0 5 54 45.0 55 44 368
0 5 55 45.0 55 48 400
0 5 56 45.0 55 46 408
0 5 57 45.0 55 44 409
0 5 58 45.0 55 45 411
0 5 59 45.0 55 45 413
0 5 60 45.0 55 47 399
0 5 61 45.0 55 44 388
0 6 1 45.0 55 49 385
0 6 3 45.0 55 46 439
0 6 4 45.0 55 43 457
0 6 5 45.0 55 46 391
0 6 6 45.0 55 43 415
0 6 7 45.0 55 49 477
0 6 9 45.0 55 49 431
0 6 11 45.0 55 48 389
0 6 12 45.0 55 48 479
0 6 13 45.0 55 45 431
0 6 15 45.0 55 48 471
0 6 17 45.0 55 46 476
0 6 19 45.0 55 47 488
0 6 23 45.0 55 45 488
0 6 25 45.0 55 47 423
0 6 27 45.0 55 48 459
0 6 29 45.0 55 46 447
0 6 31 45.0 55 48 462
0 6 32 45.0 55 46 439
0 6 33 45.0 55 49 427
0 6 34 45.0 55 45 426
0 6 35 45.0 55 49 380
0 6 37 45.0 55 47 435
0 6 39 45.0 55 47 459
0 6 41 45.0 55 47 406
0 6 42 45.0 55 47 470
0 6 43 45.0 55 48 438
0 6 44 45.0 55 47 422
0 6 46 45.0 55 46 458
0 6 49 45.0 55 49 463
0 6 51 45.0 55 46 461
0 6 53 45.0 55 48 470
0 6 54 45.0 55 46 430
0 6 55 45.0 55 46 426
0 6 56 45.0 55 48 461
0 6 58 45.0 55 48 433
0 6 59 45.0 55 47 421
0 6 60 45.0 55 47 425
0 7 1 45.0 55 43 405
0 7 2 45.0 55 44 452
0 7 5 45.0 55 45 466
0 7 6 45.0 55 45 547
0 7 7 45.0 55 45 1007
0 7 8 45.0 55 45 376
0 7 9 45.0 55 47 543
0 7 10 45.0 55 47 494
0 7 13 45.0 55 43 542
0 7 17 45.0 55 45 430
0 7 18 45.0 55 44 447
0 7 21 45.0 55 44 511
0 7 22 45.0 55 44 465
0 7 23 45.0 55 10 506
0 7 24 45.0 55 46 496
0 7 25 45.0 55 46 430
0 7 26 45.0 55 10 408
0 7 27 45.0 55 42 529
0 7 28 45.0 55 10 299
0 7 29 45.0 55 41 1007
0 7 30 45.0 55 46 469
0 7 32 45.0 55 42 1007
0 7 33 45.0 55 44 511
0 7 35 45.0 55 44 471
0 7 37 45.0 55 46 540
0 7 39 45.0 55 44 435
0 7 43 45.0 55 44 464
0 7 46 45.0 55 48 462
0 7 50 45.0 55 10 356
0 7 51 45.0 55 10 366
0 7 53 45.0 55 41 446
0 7 57 45.0 55 43 468
