# tigers connected to central connector of MM3 with Bautin's board
# connector (FEB), pin (on FEB3_pinout scheme) : detector, channel
3, 10 :  NC, 0
3, 12 : MM3, 150
3, 14 : MM3, 151
3, 16 : MM3, 152
3, 18 : MM3, 153
3, 20 : MM3, 154
3, 22 : MM3, 155
3, 24 : MM3, 156
3, 26 : MM3, 157
3, 28 : MM3, 158
3, 30 : MM3, 159
3, 32 : MM3, 160
3, 34 : MM3, 161
3, 36 : MM3, 162
3, 38 : MM3, 163
3, 40 : MM3, 164
3, 42 : MM3, 165
3, 44 : MM3, 166
3, 46 : MM3, 167
3, 48 : MM3, 168
3, 50 : MM3, 169
3, 52 : MM3, 170
3, 54 : MM3, 171
3, 56 : MM3, 172
3, 58 : MM3, 173
3, 60 : MM3, 174
3, 62 : MM3, 175
3, 64 : MM3, 176
3, 66 : MM3, 177
3, 68 : MM3, 178
3, 70 : MM3, 179
3, 72 : MM3, 180
3, 74 : MM3, 181
3, 76 : MM3, 182
3, 78 : MM3, 183
3, 80 : MM3, 184
3, 82 : MM3, 185
3, 84 : MM3, 186
3, 86 : MM3, 187
3, 88 : MM3, 188
3, 90 : MM3, 189
3, 92 : MM3, 190
3, 94 : MM3, 191
3, 96 : MM3, 192
3, 98 : MM3, 193
3, 100 : MM3, 194
3, 102 : MM3, 195
3, 104 : MM3, 196
3, 106 : MM3, 197
3, 108 : MM3, 198
3, 110 : MM3, 199
3, 112 : MM3, 200
3, 114 : MM3, 201
3, 116 : MM3, 202
3, 118 : MM3, 203
3, 120 : MM3, 204
3, 122 : MM3, 205
3, 124 : MM3, 206
3, 126 : MM3, 207
3, 128 : MM3, 208
3, 130 : MM3, 209
3, 132 : MM3, 210
3, 134 : MM3, 211
3, 136 : MM3, 212
3, 138 : MM3, 213
3,  5 : Straw, 31 # lemo 0
3, 11 : Straw, 29 # lemo 1
3, 17 : Lemo, 2 # lemo 2
3, 23 : Straw, 28 # lemo 3
3, 29 : Straw, 30 # lemo 4
3, 35 : Straw, 25 # lemo 5
3, 41 : Straw, 26 # lemo 6
3, 47 : Scint,  0 # lemo 7
