# tigers connected to central connector of MM1 with gem-tiger board, inverted
# connector (FEB), pin (on FEB3_pinout scheme) : detector, channel
1, 138 :  MM1, 212
1, 140 :  MM1, 213
1, 128 :  MM1, 211
1, 142 :  MM1, 214
1, 126 :  MM1, 210
1, 144 :  MM1, 215
1, 124 :  MM1, 209
1, 136 :  MM1, 216
1, 122 :  MM1, 208
1, 134 :  MM1, 217
1, 120 :  MM1, 207
1, 132 :  MM1, 218
1, 118 :  MM1, 206
1, 130 :  MM1, 219
1, 116 :  MM1, 205
1, 143 :  MM1, 220
1, 114 :  MM1, 204
1, 141 :  MM1, 221
1, 112 :  MM1, 203
1, 139 :  MM1, 222
1, 110 :  MM1, 202
1, 137 :  MM1, 223
1, 108 :  MM1, 201
1, 135 :  MM1, 224
1, 106 :  MM1, 200
1, 133 :  MM1, 225
1, 104 :  MM1, 199
1, 91 :  MM1, 226
1, 102 :  MM1, 198
1, 89 :  MM1, 227
1, 100 :  MM1, 197
1, 87 :  MM1, 228
1, 98 :  MM1, 196
1, 85 :  MM1, 229
1, 96 :  MM1, 195
1, 83 :  MM1, 230
1, 94 :  MM1, 194
1, 81 :  MM1, 231
1, 92 :  MM1, 193
1, 79 :  MM1, 232
1, 90 :  MM1, 192
1, 77 :  MM1, 233
1, 88 :  MM1, 191
1, 75 :  MM1, 234
1, 86 :  MM1, 190
1, 73 :  MM1, 235
1, 84 :  MM1, 189
1, 71 :  MM1, 236
1, 82 :  MM1, 188
1, 69 :  MM1, 237
1, 80 :  MM1, 187
1, 67 :  MM1, 238
1, 78 :  MM1, 186
1, 65 :  NC, 0
1, 76 :  MM1, 185
1, 63 :  NC, 0
1, 74 :  MM1, 184
1, 61 :  NC, 0
1, 72 :  MM1, 183
1, 59 :  NC, 0
1, 70 :  MM1, 182
1, 57 :  NC, 0
1, 68 :  MM1, 181
1, 55 :  NC, 0
1, 66 :  MM1, 180
1, 53 :  NC, 0
1, 64 :  MM1, 179
1, 51 :  NC, 0
1, 62 :  MM1, 178
1, 49 :  NC, 0
1, 60 :  MM1, 177
1, 47 :  NC, 0
1, 58 :  MM1, 176
1, 45 :  NC, 0
1, 56 :  MM1, 175
1, 43 :  NC, 0
1, 54 :  MM1, 174
1, 41 :  MM1, 123
1, 52 :  MM1, 173
1, 39 :  MM1, 124
1, 50 :  MM1, 172
1, 37 :  MM1, 125
1, 48 :  MM1, 171
1, 35 :  MM1, 126
1, 46 :  MM1, 170
1, 33 :  MM1, 127
1, 44 :  MM1, 169
1, 31 :  MM1, 128
1, 42 :  MM1, 168
1, 29 :  MM1, 129
1, 40 :  MM1, 167
1, 27 :  MM1, 130
1, 38 :  MM1, 166
1, 25 :  MM1, 131
1, 36 :  MM1, 165
1, 23 :  MM1, 132
1, 34 :  MM1, 164
1, 21 :  MM1, 133
1, 32 :  MM1, 163
1, 19 :  MM1, 134
1, 30 :  MM1, 162
1, 17 :  MM1, 135
1, 28 :  MM1, 161
1, 15 :  MM1, 136
1, 26 :  MM1, 160
1, 13 :  MM1, 137
1, 24 :  MM1, 159
1, 11 :  MM1, 138
1, 22 :  MM1, 158
1, 9 :  MM1, 139
1, 20 :  MM1, 157
1, 7 :  MM1, 140
1, 18 :  MM1, 156
1, 5 :  MM1, 141
1, 16 :  MM1, 155
1, 3 :  MM1, 142
1, 14 :  MM1, 154
1, 1 :  MM1, 143
1, 12 :  MM1, 153
1, 10 :  MM1, 152
1, 8 :  MM1, 151
1, 6 :  MM1, 150
1, 4 :  MM1, 149
1, 2 :  MM1, 148
