# tigers connected to central connector of MM0 with B2-board
# connector (FEB), pin (on FEB3_pinout scheme) : detector, channel
0, 142 : MM0, 150
0, 140 : MM0, 151
0, 138 : MM0, 152
0, 136 : MM0, 153
0, 134 : MM0, 154
0, 132 : MM0, 155
0, 130 : MM0, 156
0, 128 : MM0, 157
0, 126 : MM0, 158
0, 124 : MM0, 159
0, 122 : MM0, 160
0, 120 : MM0, 161
0, 118 : MM0, 162
0, 116 : MM0, 163
0, 114 : MM0, 164
0, 112 : MM0, 165
0, 110 : MM0, 166
0, 108 : MM0, 167
0, 106 : MM0, 168
0, 104 : MM0, 169
0, 102 : MM0, 170
0, 100 : MM0, 171
0, 98 : MM0, 172
0, 96 : MM0, 173
0, 94 : MM0, 174
0, 92 : MM0, 175
0, 90 : MM0, 176
0, 88 : MM0, 177
0, 86 : MM0, 178
0, 84 : MM0, 179
0, 82 : MM0, 180
0, 80 : MM0, 181
0, 78 : MM0, 182
0, 76 : MM0, 183
0, 74 : MM0, 184
0, 72 : MM0, 185
0, 70 : MM0, 186
0, 68 : MM0, 187
0, 66 : MM0, 188
0, 64 : MM0, 189
0, 62 : MM0, 190
0, 60 : MM0, 191
0, 58 : MM0, 192
0, 56 : MM0, 193
0, 54 : MM0, 194
0, 52 : MM0, 195
0, 50 : MM0, 196
0, 48 : MM0, 197
0, 46 : MM0, 198
0, 44 : MM0, 199
0, 42 : MM0, 200
0, 40 : MM0, 201
0, 38 : MM0, 202
0, 36 : MM0, 203
0, 34 : MM0, 204
0, 32 : MM0, 205
0, 30 : MM0, 206
0, 28 : MM0, 207
0, 26 : MM0, 208
0, 24 : MM0, 209
0, 22 : MM0, 210
0, 20 : MM0, 211
0, 18 : MM0, 212
0, 16 : MM0, 213
0, 17 : MM0, 214
0, 19 : MM0, 215
0, 21 : MM0, 216
0, 23 : MM0, 217
0, 25 : MM0, 218
0, 27 : MM0, 219
0, 29 : MM0, 220
0, 31 : MM0, 221
0, 33 : MM0, 222
0, 35 : MM0, 223
0, 37 : MM0, 224
0, 39 : MM0, 225
0, 41 : MM0, 226
0, 43 : MM0, 227
0, 45 : MM0, 228
0, 47 : MM0, 229
0, 49 : MM0, 230
0, 51 : MM0, 231
0, 53 : MM0, 232
0, 55 : MM0, 233
0, 57 : MM0, 234
0, 59 : MM0, 235
0, 61 : MM0, 236
0, 63 : MM0, 237
0, 65 : MM0, 238
0, 67 :  NC, 0
0, 81 :  NC, 0
0, 83 :  NC, 0
0, 85 :  NC, 0
0, 87 :  NC, 0
0, 89 :  NC, 0
0, 91 : MM0, 123
0, 79 : MM0, 124
0, 77 : MM0, 125
0, 75 : MM0, 126
0, 73 : MM0, 127
0, 71 : MM0, 128
0, 69 : MM0, 129
0, 13 : MM0, 130
0, 2 : MM0, 131
0, 11 : MM0, 132
0, 4 : MM0, 133
0, 9 : MM0, 134
0, 6 : MM0, 135
0, 7 : MM0, 136
0, 8 : MM0, 137
0, 5 : MM0, 138
0, 10 : MM0, 139
0, 3 : MM0, 140
0, 12 : MM0, 141
0, 1 : MM0, 142
0, 14 : MM0, 143
0, 133 : MM0, 144
0, 135 : MM0, 145
0, 137 : MM0, 146
0, 139 : MM0, 147
0, 141 : MM0, 148
0, 143 : MM0, 149
0, 144 : lemo, 8 # lemo 8
0, 15 : lemo, 9 # lemo 9
