# tigers connected to central connector of MM0 with gem-tiger board
# connector (FEB), pin (on FEB3_pinout scheme) : detector, channel
1, 144 :  MM0, 149.0
1, 142 :  MM0, 148.0
1, 128 :  MM0, 150.0
1, 140 :  MM0, 147.0
1, 126 :  MM0, 151.0
1, 138 :  MM0, 146.0
1, 124 :  MM0, 152.0
1, 136 :  MM0, 145.0
1, 122 :  MM0, 153.0
1, 134 :  MM0, 144.0
1, 120 :  MM0, 154.0
1, 132 :  MM0, 143.0
1, 118 :  MM0, 155.0
1, 130 :  MM0, 142.0
1, 116 :  MM0, 156.0
1, 143 :  MM0, 141.0
1, 114 :  MM0, 157.0
1, 141 :  MM0, 140.0
1, 112 :  MM0, 158.0
1, 139 :  MM0, 139.0
1, 110 :  MM0, 159.0
1, 137 :  MM0, 138.0
1, 108 :  MM0, 160.0
1, 135 :  MM0, 137.0
1, 106 :  MM0, 161.0
1, 133 :  MM0, 136.0
1, 104 :  MM0, 162.0
1, 91 :  MM0, 135.0
1, 102 :  MM0, 163.0
1, 89 :  MM0, 134.0
1, 100 :  MM0, 164.0
1, 87 :  MM0, 133.0
1, 98 :  MM0, 165.0
1, 85 :  MM0, 132.0
1, 96 :  MM0, 166.0
1, 83 :  MM0, 131.0
1, 94 :  MM0, 167.0
1, 81 :  MM0, 130.0
1, 92 :  MM0, 168.0
1, 79 :  MM0, 129.0
1, 90 :  MM0, 169.0
1, 77 :  MM0, 128.0
1, 88 :  MM0, 170.0
1, 75 :  MM0, 127.0
1, 86 :  MM0, 171.0
1, 73 :  MM0, 126.0
1, 84 :  MM0, 172.0
1, 71 :  MM0, 125.0
1, 82 :  MM0, 173.0
1, 69 :  MM0, 124.0
1, 80 :  MM0, 174.0
1, 67 :  MM0, 123.0
1, 78 :  MM0, 175.0
1, 65 :  NC, 0
1, 76 :  MM0, 176.0
1, 63 :  NC, 0
1, 74 :  MM0, 177.0
1, 61 :  NC, 0
1, 72 :  MM0, 178.0
1, 59 :  NC, 0
1, 70 :  MM0, 179.0
1, 57 :  NC, 0
1, 68 :  MM0, 180.0
1, 55 :  NC, 0
1, 66 :  MM0, 181.0
1, 53 :  NC, 0
1, 64 :  MM0, 182.0
1, 51 :  NC, 0
1, 62 :  MM0, 183.0
1, 49 :  NC, 0
1, 60 :  MM0, 184.0
1, 47 :  NC, 0
1, 58 :  MM0, 185.0
1, 45 :  NC, 0
1, 56 :  MM0, 186.0
1, 43 :  NC, 0
1, 54 :  MM0, 187.0
1, 41 :  MM0, 238.0
1, 52 :  MM0, 188.0
1, 39 :  MM0, 237.0
1, 50 :  MM0, 189.0
1, 37 :  MM0, 236.0
1, 48 :  MM0, 190.0
1, 35 :  MM0, 235.0
1, 46 :  MM0, 191.0
1, 33 :  MM0, 234.0
1, 44 :  MM0, 192.0
1, 31 :  MM0, 233.0
1, 42 :  MM0, 193.0
1, 29 :  MM0, 232.0
1, 40 :  MM0, 194.0
1, 27 :  MM0, 231.0
1, 38 :  MM0, 195.0
1, 25 :  MM0, 230.0
1, 36 :  MM0, 196.0
1, 23 :  MM0, 229.0
1, 34 :  MM0, 197.0
1, 21 :  MM0, 228.0
1, 32 :  MM0, 198.0
1, 19 :  MM0, 227.0
1, 30 :  MM0, 199.0
1, 17 :  MM0, 226.0
1, 28 :  MM0, 200.0
1, 15 :  MM0, 225.0
1, 26 :  MM0, 201.0
1, 13 :  MM0, 224.0
1, 24 :  MM0, 202.0
1, 11 :  MM0, 223.0
1, 22 :  MM0, 203.0
1, 9 :  MM0, 222.0
1, 20 :  MM0, 204.0
1, 7 :  MM0, 221.0
1, 18 :  MM0, 205.0
1, 5 :  MM0, 220.0
1, 16 :  MM0, 206.0
1, 3 :  MM0, 219.0
1, 14 :  MM0, 207.0
1, 1 :  MM0, 218.0
1, 12 :  MM0, 208.0
1, 10 :  MM0, 209.0
1, 8 :  MM0, 210.0
1, 6 :  MM0, 211.0
1, 4 :  MM0, 212.0
1, 2 :  MM0, 213.0
