# tigers connected to central connector of MM0 with gem-tiger board, inverted
# connector (FEB), pin (on FEB3_pinout scheme) : detector, channel
1, 138 :  MM0, 212
1, 140 :  MM0, 213
1, 128 :  MM0, 211
1, 142 :  MM0, 214
1, 126 :  MM0, 210
1, 144 :  MM0, 215
1, 124 :  MM0, 209
1, 136 :  MM0, 216
1, 122 :  MM0, 208
1, 134 :  MM0, 217
1, 120 :  MM0, 207
1, 132 :  MM0, 218
1, 118 :  MM0, 206
1, 130 :  MM0, 219
1, 116 :  MM0, 205
1, 143 :  MM0, 220
1, 114 :  MM0, 204
1, 141 :  MM0, 221
1, 112 :  MM0, 203
1, 139 :  MM0, 222
1, 110 :  MM0, 202
1, 137 :  MM0, 223
1, 108 :  MM0, 201
1, 135 :  MM0, 224
1, 106 :  MM0, 200
1, 133 :  MM0, 225
1, 104 :  MM0, 199
1, 91 :  MM0, 226
1, 102 :  MM0, 198
1, 89 :  MM0, 227
1, 100 :  MM0, 197
1, 87 :  MM0, 228
1, 98 :  MM0, 196
1, 85 :  MM0, 229
1, 96 :  MM0, 195
1, 83 :  MM0, 230
1, 94 :  MM0, 194
1, 81 :  MM0, 231
1, 92 :  MM0, 193
1, 79 :  MM0, 232
1, 90 :  MM0, 192
1, 77 :  MM0, 233
1, 88 :  MM0, 191
1, 75 :  MM0, 234
1, 86 :  MM0, 190
1, 73 :  MM0, 235
1, 84 :  MM0, 189
1, 71 :  MM0, 236
1, 82 :  MM0, 188
1, 69 :  MM0, 237
1, 80 :  MM0, 187
1, 67 :  MM0, 238
1, 78 :  MM0, 186
1, 65 :  NC, 0
1, 76 :  MM0, 185
1, 63 :  NC, 0
1, 74 :  MM0, 184
1, 61 :  NC, 0
1, 72 :  MM0, 183
1, 59 :  NC, 0
1, 70 :  MM0, 182
1, 57 :  NC, 0
1, 68 :  MM0, 181
1, 55 :  NC, 0
1, 66 :  MM0, 180
1, 53 :  NC, 0
1, 64 :  MM0, 179
1, 51 :  NC, 0
1, 62 :  MM0, 178
1, 49 :  NC, 0
1, 60 :  MM0, 177
1, 47 :  NC, 0
1, 58 :  MM0, 176
1, 45 :  NC, 0
1, 56 :  MM0, 175
1, 43 :  NC, 0
1, 54 :  MM0, 174
1, 41 :  MM0, 123
1, 52 :  MM0, 173
1, 39 :  MM0, 124
1, 50 :  MM0, 172
1, 37 :  MM0, 125
1, 48 :  MM0, 171
1, 35 :  MM0, 126
1, 46 :  MM0, 170
1, 33 :  MM0, 127
1, 44 :  MM0, 169
1, 31 :  MM0, 128
1, 42 :  MM0, 168
1, 29 :  MM0, 129
1, 40 :  MM0, 167
1, 27 :  MM0, 130
1, 38 :  MM0, 166
1, 25 :  MM0, 131
1, 36 :  MM0, 165
1, 23 :  MM0, 132
1, 34 :  MM0, 164
1, 21 :  MM0, 133
1, 32 :  MM0, 163
1, 19 :  MM0, 134
1, 30 :  MM0, 162
1, 17 :  MM0, 135
1, 28 :  MM0, 161
1, 15 :  MM0, 136
1, 26 :  MM0, 160
1, 13 :  MM0, 137
1, 24 :  MM0, 159
1, 11 :  MM0, 138
1, 22 :  MM0, 158
1, 9 :  MM0, 139
1, 20 :  MM0, 157
1, 7 :  MM0, 140
1, 18 :  MM0, 156
1, 5 :  MM0, 141
1, 16 :  MM0, 155
1, 3 :  MM0, 142
1, 14 :  MM0, 154
1, 1 :  MM0, 143
1, 12 :  MM0, 153
1, 10 :  MM0, 152
1, 8 :  MM0, 151
1, 6 :  MM0, 150
1, 4 :  MM0, 149
1, 2 :  MM0, 148
