# tigers connected to left connector of MM0 with gem-tiger board
# connector (FEB), pin (on FEB3_pinout scheme) : detector, channel
1, 144 :  MM0, 32.0
1, 142 :  MM0, 31.0
1, 128 :  MM0, 33.0
1, 140 :  MM0, 30.0
1, 126 :  MM0, 34.0
1, 138 :  MM0, 29.0
1, 124 :  MM0, 35.0
1, 136 :  MM0, 28.0
1, 122 :  MM0, 36.0
1, 134 :  MM0, 27.0
1, 120 :  MM0, 37.0
1, 132 :  MM0, 26.0
1, 118 :  MM0, 38.0
1, 130 :  MM0, 25.0
1, 116 :  MM0, 39.0
1, 143 :  MM0, 24.0
1, 114 :  MM0, 40.0
1, 141 :  MM0, 23.0
1, 112 :  MM0, 41.0
1, 139 :  MM0, 22.0
1, 110 :  MM0, 42.0
1, 137 :  MM0, 21.0
1, 108 :  MM0, 43.0
1, 135 :  MM0, 20.0
1, 106 :  MM0, 44.0
1, 133 :  MM0, 19.0
1, 104 :  MM0, 45.0
1, 91 :  MM0, 18.0
1, 102 :  MM0, 46.0
1, 89 :  MM0, 17.0
1, 100 :  MM0, 47.0
1, 87 :  MM0, 16.0
1, 98 :  MM0, 48.0
1, 85 :  MM0, 15.0
1, 96 :  MM0, 49.0
1, 83 :  MM0, 14.0
1, 94 :  MM0, 50.0
1, 81 :  MM0, 13.0
1, 92 :  MM0, 51.0
1, 79 :  MM0, 12.0
1, 90 :  MM0, 52.0
1, 77 :  MM0, 11.0
1, 88 :  MM0, 53.0
1, 75 :  MM0, 10.0
1, 86 :  MM0, 54.0
1, 73 :  MM0, 9.0
1, 84 :  MM0, 55.0
1, 71 :  MM0, 8.0
1, 82 :  MM0, 56.0
1, 69 :  MM0, 7.0
1, 80 :  MM0, 57.0
1, 67 :  MM0, 6.0
1, 78 :  MM0, 58.0
1, 65 :  MM0, 5.0
1, 76 :  MM0, 59.0
1, 63 :  MM0, 4.0
1, 74 :  MM0, 60.0
1, 61 :  MM0, 3.0
1, 72 :  MM0, 61.0
1, 59 :  MM0, 2.0
1, 70 :  MM0, 62.0
1, 57 :  MM0, 1.0
1, 68 :  MM0, 63.0
1, 55 :  NC, 0
1, 66 :  MM0, 64.0
1, 53 :  NC, 0
1, 64 :  MM0, 65.0
1, 51 :  NC, 0
1, 62 :  MM0, 66.0
1, 49 :  NC, 0
1, 60 :  MM0, 67.0
1, 47 :  NC, 0
1, 58 :  MM0, 68.0
1, 45 :  NC, 0
1, 56 :  MM0, 69.0
1, 43 :  MM0, 122.0
1, 54 :  MM0, 70.0
1, 41 :  MM0, 121.0
1, 52 :  MM0, 71.0
1, 39 :  MM0, 120.0
1, 50 :  MM0, 72.0
1, 37 :  MM0, 119.0
1, 48 :  MM0, 73.0
1, 35 :  MM0, 118.0
1, 46 :  MM0, 74.0
1, 33 :  MM0, 117.0
1, 44 :  MM0, 75.0
1, 31 :  MM0, 116.0
1, 42 :  MM0, 76.0
1, 29 :  MM0, 115.0
1, 40 :  MM0, 77.0
1, 27 :  MM0, 114.0
1, 38 :  MM0, 78.0
1, 25 :  MM0, 113.0
1, 36 :  MM0, 79.0
1, 23 :  MM0, 112.0
1, 34 :  MM0, 80.0
1, 21 :  MM0, 111.0
1, 32 :  MM0, 81.0
1, 19 :  MM0, 110.0
1, 30 :  MM0, 82.0
1, 17 :  MM0, 109.0
1, 28 :  MM0, 83.0
1, 15 :  MM0, 108.0
1, 26 :  MM0, 84.0
1, 13 :  MM0, 107.0
1, 24 :  MM0, 85.0
1, 11 :  MM0, 106.0
1, 22 :  MM0, 86.0
1, 9 :  MM0, 105.0
1, 20 :  MM0, 87.0
1, 7 :  MM0, 104.0
1, 18 :  MM0, 88.0
1, 5 :  MM0, 103.0
1, 16 :  MM0, 89.0
1, 3 :  MM0, 102.0
1, 14 :  MM0, 90.0
1, 1 :  MM0, 101.0
1, 12 :  MM0, 91.0
1, 10 :  MM0, 92.0
1, 8 :  MM0, 93.0
1, 6 :  MM0, 94.0
1, 4 :  MM0, 95.0
1, 2 :  MM0, 96.0
