# tigers connected to left connector of MM0 with B2-board, inverted
# connector (FEB), pin (on FEB3_pinout scheme) : detector, channel
1, 142 : MM0, 328
1, 140 : MM0, 327
1, 138 : MM0, 326
1, 136 : MM0, 325
1, 134 : MM0, 324
1, 132 : MM0, 323
1, 130 : MM0, 322
1, 128 : MM0, 321
1, 126 : MM0, 320
1, 124 : MM0, 319
1, 122 : MM0, 318
1, 120 : MM0, 317
1, 118 : MM0, 316
1, 116 : MM0, 315
1, 114 : MM0, 314
1, 112 : MM0, 313
1, 110 : MM0, 312
1, 108 : MM0, 311
1, 106 : MM0, 310
1, 104 : MM0, 309
1, 102 : MM0, 308
1, 100 : MM0, 307
1, 98 : MM0, 306
1, 96 : MM0, 305
1, 94 : MM0, 304
1, 92 : MM0, 303
1, 90 : MM0, 302
1, 88 : MM0, 301
1, 86 : MM0, 300
1, 84 : MM0, 299
1, 82 : MM0, 298
1, 80 : MM0, 297
1, 78 : MM0, 296
1, 76 : MM0, 295
1, 74 : MM0, 294
1, 72 : MM0, 293
1, 70 : MM0, 292
1, 68 : MM0, 291
1, 66 : MM0, 290
1, 64 : MM0, 289
1, 62 : MM0, 288
1, 60 : MM0, 287
1, 58 : MM0, 286
1, 56 : MM0, 285
1, 54 : MM0, 284
1, 52 : MM0, 283
1, 50 : MM0, 282
1, 48 : MM0, 281
1, 46 : MM0, 280
1, 44 : MM0, 279
1, 42 : MM0, 278
1, 40 : MM0, 277
1, 38 : MM0, 276
1, 36 : MM0, 275
1, 34 : MM0, 274
1, 32 : MM0, 273
1, 30 : MM0, 272
1, 28 : MM0, 271
1, 26 : MM0, 270
1, 24 : MM0, 269
1, 22 : MM0, 268
1, 20 : MM0, 267
1, 18 : MM0, 266
1, 16 : MM0, 265
1, 17 : MM0, 264
1, 19 : MM0, 263
1, 21 : MM0, 262
1, 23 : MM0, 261
1, 25 : MM0, 260
1, 27 : MM0, 259
1, 29 : MM0, 258
1, 31 : MM0, 257
1, 33 : MM0, 256
1, 35 : MM0, 255
1, 37 : MM0, 254
1, 39 : MM0, 253
1, 41 : MM0, 252
1, 43 : MM0, 251
1, 45 : MM0, 250
1, 47 : MM0, 249
1, 49 : MM0, 248
1, 51 : MM0, 247
1, 53 : MM0, 246
1, 55 : MM0, 245
1, 57 : MM0, 244
1, 59 : MM0, 243
1, 61 : MM0, 242
1, 63 : MM0, 241
1, 65 : MM0, 240
1, 67 : MM0, 239
1, 81 : MM0, 360
1, 83 : MM0, 359
1, 85 : MM0, 358
1, 87 : MM0, 357
1, 89 : MM0, 356
1, 91 : MM0, 355
1, 79 : MM0, 354
1, 77 : MM0, 353
1, 75 : MM0, 352
1, 73 : MM0, 351
1, 71 : MM0, 350
1, 69 : MM0, 349
1, 13 : MM0, 348
1, 2 : MM0, 347
1, 11 : MM0, 346
1, 4 : MM0, 345
1, 9 : MM0, 344
1, 6 : MM0, 343
1, 7 : MM0, 342
1, 8 : MM0, 341
1, 5 : MM0, 340
1, 10 : MM0, 339
1, 3 : MM0, 338
1, 12 : MM0, 337
1, 1 : MM0, 336
1, 14 : MM0, 335
1, 133 : MM0, 334
1, 135 : MM0, 333
1, 137 : MM0, 332
1, 139 : MM0, 331
1, 141 : MM0, 330
1, 143 : MM0, 329
1, 144 : lemo, 0 # lemo 0
1, 15 : lemo, 1 # lemo 1
