# tigers connected to right connector of MM0 with B2-board, inverted
# connector (FEB), pin (on FEB3_pinout scheme) : detector, channel
1, 142 : MM0, 96
1, 140 : MM0, 95
1, 138 : MM0, 94
1, 136 : MM0, 93
1, 134 : MM0, 92
1, 132 : MM0, 91
1, 130 : MM0, 90
1, 128 : MM0, 89
1, 126 : MM0, 88
1, 124 : MM0, 87
1, 122 : MM0, 86
1, 120 : MM0, 85
1, 118 : MM0, 84
1, 116 : MM0, 83
1, 114 : MM0, 82
1, 112 : MM0, 81
1, 110 : MM0, 80
1, 108 : MM0, 79
1, 106 : MM0, 78
1, 104 : MM0, 77
1, 102 : MM0, 76
1, 100 : MM0, 75
1, 98 : MM0, 74
1, 96 : MM0, 73
1, 94 : MM0, 72
1, 92 : MM0, 71
1, 90 : MM0, 70
1, 88 : MM0, 69
1, 86 : MM0, 68
1, 84 : MM0, 67
1, 82 : MM0, 66
1, 80 : MM0, 65
1, 78 : MM0, 64
1, 76 : MM0, 63
1, 74 : MM0, 62
1, 72 : MM0, 61
1, 70 : MM0, 60
1, 68 : MM0, 59
1, 66 : MM0, 58
1, 64 : MM0, 57
1, 62 : MM0, 56
1, 60 : MM0, 55
1, 58 : MM0, 54
1, 56 : MM0, 53
1, 54 : MM0, 52
1, 52 : MM0, 51
1, 50 : MM0, 50
1, 48 : MM0, 49
1, 46 : MM0, 48
1, 44 : MM0, 47
1, 42 : MM0, 46
1, 40 : MM0, 45
1, 38 : MM0, 44
1, 36 : MM0, 43
1, 34 : MM0, 42
1, 32 : MM0, 41
1, 30 : MM0, 40
1, 28 : MM0, 39
1, 26 : MM0, 38
1, 24 : MM0, 37
1, 22 : MM0, 36
1, 20 : MM0, 35
1, 18 : MM0, 34
1, 16 : MM0, 33
1, 17 : MM0, 32
1, 19 : MM0, 31
1, 21 : MM0, 30
1, 23 : MM0, 29
1, 25 : MM0, 28
1, 27 : MM0, 27
1, 29 : MM0, 26
1, 31 : MM0, 25
1, 33 : MM0, 24
1, 35 : MM0, 23
1, 37 : MM0, 22
1, 39 : MM0, 21
1, 41 : MM0, 20
1, 43 : MM0, 19
1, 45 : MM0, 18
1, 47 : MM0, 17
1, 49 : MM0, 16
1, 51 : MM0, 15
1, 53 : MM0, 14
1, 55 : MM0, 13
1, 57 : MM0, 12
1, 59 : MM0, 11
1, 61 : MM0, 10
1, 63 : MM0, 9
1, 65 : MM0, 8
1, 67 : MM0, 7
1, 81 :  NC, 0
1, 83 :  NC, 0
1, 85 :  NC, 0
1, 87 :  NC, 0
1, 89 :  NC, 0
1, 91 :  NC, 0
1, 79 : MM0, 122
1, 77 : MM0, 121
1, 75 : MM0, 120
1, 73 : MM0, 119
1, 71 : MM0, 118
1, 69 : MM0, 117
1, 13 : MM0, 116
1, 2 : MM0, 115
1, 11 : MM0, 114
1, 4 : MM0, 113
1, 9 : MM0, 112
1, 6 : MM0, 111
1, 7 : MM0, 110
1, 8 : MM0, 109
1, 5 : MM0, 108
1, 10 : MM0, 107
1, 3 : MM0, 106
1, 12 : MM0, 105
1, 1 : MM0, 104
1, 14 : MM0, 103
1, 133 : MM0, 102
1, 135 : MM0, 101
1, 137 : MM0, 100
1, 139 : MM0, 99
1, 141 : MM0, 98
1, 143 : MM0, 97
1, 144 : lemo, 0 # lemo 0
1, 15 : lemo, 1 # lemo 1
