# tigers connected to central connector of MM0 with Bautin's board
# connector (FEB), pin (on FEB3_pinout scheme) : detector, channel
1, 10 : MM0, 213
1, 12 : MM0, 212
1, 14 : MM0, 211
1, 16 : MM0, 210
1, 18 : MM0, 209
1, 20 : MM0, 208
1, 22 : MM0, 207
1, 24 : MM0, 206
1, 26 : MM0, 205
1, 28 : MM0, 204
1, 30 : MM0, 203
1, 32 : MM0, 202
1, 34 : MM0, 201
1, 36 : MM0, 200
1, 38 : MM0, 199
1, 40 : MM0, 198
1, 42 : MM0, 197
1, 44 : MM0, 196
1, 46 : MM0, 195
1, 48 : MM0, 194
1, 50 : MM0, 193
1, 52 : MM0, 192
1, 54 : MM0, 191
1, 56 : MM0, 190
1, 58 : MM0, 189
1, 60 : MM0, 188
1, 62 : MM0, 187
1, 64 : MM0, 186
1, 66 : MM0, 185
1, 68 : MM0, 184
1, 70 : MM0, 183
1, 72 : MM0, 182
1, 74 : MM0, 181
1, 76 : MM0, 180
1, 78 : MM0, 179
1, 80 : MM0, 178
1, 82 : MM0, 177
1, 84 : MM0, 176
1, 86 : MM0, 175
1, 88 : MM0, 174
1, 90 : MM0, 173
1, 92 : MM0, 172
1, 94 : MM0, 171
1, 96 : MM0, 170
1, 98 : MM0, 169
1, 100 : MM0, 168
1, 102 : MM0, 167
1, 104 : MM0, 166
1, 106 : MM0, 165
1, 108 : MM0, 164
1, 110 : MM0, 163
1, 112 : MM0, 162
1, 114 : MM0, 161
1, 116 : MM0, 160
1, 118 : MM0, 159
1, 120 : MM0, 158
1, 122 : MM0, 157
1, 124 : MM0, 156
1, 126 : MM0, 155
1, 128 : MM0, 154
1, 130 : MM0, 153
1, 132 : MM0, 152
1, 134 : MM0, 151
1, 136 : MM0, 150
1, 138 :  NC, 0
1, 5 : lemo, 0 # lemo 0
1, 11 : lemo, 1 # lemo 1
1, 17 : lemo, 2 # lemo 2
1, 23 : lemo, 3 # lemo 3
1, 29 : lemo, 4 # lemo 4
1, 35 : lemo, 5 # lemo 5
1, 41 : lemo, 6 # lemo 6
1, 47 : lemo, 7 # lemo 7
