# tigers connected to left connector of MM0 with Bautin's board
# connector (FEB), pin : detector, channel
1, 10 :  NC, 0
1, 12 : MM0, 33
1, 14 : MM0, 34
1, 16 : MM0, 35
1, 18 : MM0, 36
1, 20 : MM0, 37
1, 22 : MM0, 38
1, 24 : MM0, 39
1, 26 : MM0, 40
1, 28 : MM0, 41
1, 30 : MM0, 42
1, 32 : MM0, 43
1, 34 : MM0, 44
1, 36 : MM0, 45
1, 38 : MM0, 46
1, 40 : MM0, 47
1, 42 : MM0, 48
1, 44 : MM0, 49
1, 46 : MM0, 50
1, 48 : MM0, 51
1, 50 : MM0, 52
1, 52 : MM0, 53
1, 54 : MM0, 54
1, 56 : MM0, 55
1, 58 : MM0, 56
1, 60 : MM0, 57
1, 62 : MM0, 58
1, 64 : MM0, 59
1, 66 : MM0, 60
1, 68 : MM0, 61
1, 70 : MM0, 62
1, 72 : MM0, 63
1, 74 : MM0, 64
1, 76 : MM0, 65
1, 78 : MM0, 66
1, 80 : MM0, 67
1, 82 : MM0, 68
1, 84 : MM0, 69
1, 86 : MM0, 70
1, 88 : MM0, 71
1, 90 : MM0, 72
1, 92 : MM0, 73
1, 94 : MM0, 74
1, 96 : MM0, 75
1, 98 : MM0, 76
1, 100 : MM0, 77
1, 102 : MM0, 78
1, 104 : MM0, 79
1, 106 : MM0, 80
1, 108 : MM0, 81
1, 110 : MM0, 82
1, 112 : MM0, 83
1, 114 : MM0, 84
1, 116 : MM0, 85
1, 118 : MM0, 86
1, 120 : MM0, 87
1, 122 : MM0, 88
1, 124 : MM0, 89
1, 126 : MM0, 90
1, 128 : MM0, 91
1, 130 : MM0, 92
1, 132 : MM0, 93
1, 134 : MM0, 94
1, 136 : MM0, 95
1, 138 : MM0, 96
1, 5 : lemo, 0 # lemo 0
1, 11 : lemo, 1 # lemo 1
1, 17 : lemo, 2 # lemo 2
1, 23 : lemo, 3 # lemo 3
1, 29 : lemo, 4 # lemo 4
1, 35 : lemo, 5 # lemo 5
1, 41 : lemo, 6 # lemo 6
1, 47 : lemo, 7 # lemo 7
