# tigers connected to right connector of MM0 with Bautin's board
# connector (FEB), pin : detector, channel
1, 10 :  NC, 0
1, 12 : MM0, 265
1, 14 : MM0, 266
1, 16 : MM0, 267
1, 18 : MM0, 268
1, 20 : MM0, 269
1, 22 : MM0, 270
1, 24 : MM0, 271
1, 26 : MM0, 272
1, 28 : MM0, 273
1, 30 : MM0, 274
1, 32 : MM0, 275
1, 34 : MM0, 276
1, 36 : MM0, 277
1, 38 : MM0, 278
1, 40 : MM0, 279
1, 42 : MM0, 280
1, 44 : MM0, 281
1, 46 : MM0, 282
1, 48 : MM0, 283
1, 50 : MM0, 284
1, 52 : MM0, 285
1, 54 : MM0, 286
1, 56 : MM0, 287
1, 58 : MM0, 288
1, 60 : MM0, 289
1, 62 : MM0, 290
1, 64 : MM0, 291
1, 66 : MM0, 292
1, 68 : MM0, 293
1, 70 : MM0, 294
1, 72 : MM0, 295
1, 74 : MM0, 296
1, 76 : MM0, 297
1, 78 : MM0, 298
1, 80 : MM0, 299
1, 82 : MM0, 300
1, 84 : MM0, 301
1, 86 : MM0, 302
1, 88 : MM0, 303
1, 90 : MM0, 304
1, 92 : MM0, 305
1, 94 : MM0, 306
1, 96 : MM0, 307
1, 98 : MM0, 308
1, 100 : MM0, 309
1, 102 : MM0, 310
1, 104 : MM0, 311
1, 106 : MM0, 312
1, 108 : MM0, 313
1, 110 : MM0, 314
1, 112 : MM0, 315
1, 114 : MM0, 316
1, 116 : MM0, 317
1, 118 : MM0, 318
1, 120 : MM0, 319
1, 122 : MM0, 320
1, 124 : MM0, 321
1, 126 : MM0, 322
1, 128 : MM0, 323
1, 130 : MM0, 324
1, 132 : MM0, 325
1, 134 : MM0, 326
1, 136 : MM0, 327
1, 138 : MM0, 328
1, 5 : lemo, 0 # lemo 0
1, 11 : lemo, 1 # lemo 1
1, 17 : lemo, 2 # lemo 2
1, 23 : lemo, 3 # lemo 3
1, 29 : lemo, 4 # lemo 4
1, 35 : lemo, 5 # lemo 5
1, 41 : lemo, 6 # lemo 6
1, 47 : lemo, 7 # lemo 7
